year,area,uf,estado,bovino
2022,2594,0,Amazonas,1558283
2021,2306,0,Amazonas,1496165
2020,1512,0,Amazonas,1437809
2019,1434,0,Amazonas,1455842
2018,1045,0,Amazonas,1376210
2017,1001,0,Amazonas,1343574
2016,1129,0,Amazonas,1315821
2015,712,0,Amazonas,1293325
2014,500,0,Amazonas,1405208
2013,583,0,Amazonas,1470537
2012,523,0,Amazonas,1445739
2011,502,0,Amazonas,1439597
2010,595,0,Amazonas,1360800
2009,405,0,Amazonas,1350816
2008,604,0,Amazonas,1312352
2007,610,0,Amazonas,1208652
2006,788,0,Amazonas,1243358
2005,775,0,Amazonas,1197171
2004,1232,0,Amazonas,1156723
2003,1558,0,Amazonas,1121009
2002,885,0,Amazonas,894856
2001,634,0,Amazonas,863736
2000,612,0,Amazonas,843254
1999,720,0,Amazonas,826025
1998,670,0,Amazonas,809302
1997,589,0,Amazonas,770805
1996,1023,0,Amazonas,733910
1995,2114,0,Amazonas,805804
1994,370,0,Amazonas,746638
1993,370,0,Amazonas,688592
1992,799,0,Amazonas,639811
1991,980,0,Amazonas,647714
1990,520,0,Amazonas,637299
1989,1180,0,Amazonas,628256
1988,1510,0,Amazonas,609477
